Unnamed: 0,candidate_id,womens_rights_count,womens_rights_average_favorites,womens_rights_sum_favorites,womens_rights_average_retweets,womens_rights_sum_retweets,familycare_count,familycare_average_favorites,familycare_sum_favorites,familycare_average_retweets,familycare_sum_retweets,education_count,education_average_favorites,education_sum_favorites,education_average_retweets,education_sum_retweets,healthcare_count,healthcare_average_favorites,healthcare_sum_favorites,healthcare_average_retweets,healthcare_sum_retweets,military_count,military_average_favorites,military_sum_favorites,military_average_retweets,military_sum_retweets,economics_count,economics_average_favorites,economics_sum_favorites,economics_average_retweets,economics_sum_retweets,foreign_affairs_count,foreign_affairs_average_favorites,foreign_affairs_sum_favorites,foreign_affairs_average_retweets,foreign_affairs_sum_retweets,policing_count,policing_average_favorites,policing_sum_favorites,policing_average_retweets,policing_sum_retweets,covid_count,covid_average_favorites,covid_sum_favorites,covid_average_retweets,covid_sum_retweets,total_candidate_favorites,total_candidate_retweets,mean_candidate_favorites,mean_candidate_retweets,total_tweets,party,gender,masculine_count,feminine_count,masculine_total_engagement,feminine_total_engagement,masculine_average_engagement,feminine_average_engagement
477,1301,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,15.0,15,10.0,10,2,12.5,25,5.5,11,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,817,382,17.76086957,8.304347826,46,Republican Party,Female,3,0,61,0,20.33333333,
478,1303,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,5.0,5,1.0,1,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,6.0,6,1.0,1,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1434,388,62.34782609,16.86956522,23,Campaign website,Female,1,1,7,6,7.0,6.0
479,1306,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2,7.5,15,0.5,1,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,638,207,22.78571429,7.392857143,28,Republican Party,Female,2,0,16,0,8.0,
480,1307,0,0.0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,4.0,4,0.0,0,0,0.0,0,0.0,0,1,7.0,7,1.0,1,0,0.0,0,0.0,0,713,189,13.45283019,3.566037736,53,Republican Party,Male,2,1,12,0,6.0,0.0
481,1308,0,0.0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,4.0,4,0.0,0,0,0.0,0,0.0,0,1,7.0,7,1.0,1,0,0.0,0,0.0,0,713,189,13.45283019,3.566037736,53,Republican Party,Male,2,1,12,0,6.0,0.0
482,1311,0,0.0,0,0.0,0,1,9.0,9,2.0,2,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,453,157,18.12,6.28,25,Republican Party,Male,0,1,0,11,,11.0
483,1313,0,0.0,0,0.0,0,1,31.0,31,11.0,11,1,14.0,14,8.0,8,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,3,20.0,60,8.0,24,0,0.0,0,0.0,0,1378,513,26.0,9.679245283,53,Republican Party,Male,3,2,84,64,28.0,32.0
484,1316,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,1.0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,1.0,1,0.0,0,0,0.0,0,0.0,0,15,6,0.7142857140000001,0.28571428600000004,21,Republican Party,Male,1,1,1,1,1.0,1.0
485,1319,1,19.0,19,5.0,5,6,17.0,102,5.666666667,34,1,3.0,3,0.0,0,1,5.0,5,1.0,1,1,15.0,15,6.0,6,2,6.0,12,3.5,7,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2579,820,14.65340909,4.659090909,176,Republican Party,Female,3,9,40,169,13.33333333,18.77777778
486,1321,0,0.0,0,0.0,0,1,12.0,12,4.0,4,2,14.0,28,4.5,9,0,0.0,0,0.0,0,1,54.0,54,15.0,15,4,33.75,135,10.0,40,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1525,466,29.90196078,9.137254902,51,Republican Party,Male,5,3,244,53,48.8,17.66666667
